key,date,value
visualization,1991,0
visualization,1992,0
visualization,1993,0
visualization,1994,0
visualization,1995,1
visualization,1996,2
visualization,1997,2
visualization,1998,3
visualization,1999,2
visualization,2000,9
visualization,2001,4
visualization,2002,9
visualization,2003,5
visualization,2004,4
visualization,2005,7
visualization,2006,2
visualization,2007,6
visualization,2008,3
visualization,2009,4
visualization,2010,3
visualization,2011,4
visualization,2012,7
visualization,2013,7
visualization,2014,2
visualization,2015,5
volume rendering,1991,0
volume rendering,1992,0
volume rendering,1993,0
volume rendering,1994,0
volume rendering,1995,1
volume rendering,1996,1
volume rendering,1997,7
volume rendering,1998,2
volume rendering,1999,2
volume rendering,2000,4
volume rendering,2001,3
volume rendering,2002,6
volume rendering,2003,10
volume rendering,2004,8
volume rendering,2005,11
volume rendering,2006,6
volume rendering,2007,2
volume rendering,2008,3
volume rendering,2009,3
volume rendering,2010,2
volume rendering,2011,3
volume rendering,2012,5
volume rendering,2013,5
volume rendering,2014,2
volume rendering,2015,2
information visualization,1991,0
information visualization,1992,0
information visualization,1993,1
information visualization,1994,0
information visualization,1995,0
information visualization,1996,4
information visualization,1997,4
information visualization,1998,4
information visualization,1999,4
information visualization,2000,1
information visualization,2001,0
information visualization,2002,5
information visualization,2003,11
information visualization,2004,5
information visualization,2005,2
information visualization,2006,5
information visualization,2007,5
information visualization,2008,1
information visualization,2009,6
information visualization,2010,3
information visualization,2011,0
information visualization,2012,2
information visualization,2013,6
information visualization,2014,9
information visualization,2015,5
visual analytics,1991,0
visual analytics,1992,0
visual analytics,1993,0
visual analytics,1994,0
visual analytics,1995,0
visual analytics,1996,0
visual analytics,1997,0
visual analytics,1998,0
visual analytics,1999,0
visual analytics,2000,0
visual analytics,2001,0
visual analytics,2002,0
visual analytics,2003,0
visual analytics,2004,0
visual analytics,2005,1
visual analytics,2006,6
visual analytics,2007,8
visual analytics,2008,5
visual analytics,2009,5
visual analytics,2010,2
visual analytics,2011,5
visual analytics,2012,5
visual analytics,2013,8
visual analytics,2014,12
visual analytics,2015,8
Visualization,1991,0
Visualization,1992,0
Visualization,1993,0
Visualization,1994,0
Visualization,1995,0
Visualization,1996,2
Visualization,1997,2
Visualization,1998,1
Visualization,1999,0
Visualization,2000,0
Visualization,2001,2
Visualization,2002,4
Visualization,2003,3
Visualization,2004,6
Visualization,2005,3
Visualization,2006,1
Visualization,2007,2
Visualization,2008,3
Visualization,2009,3
Visualization,2010,1
Visualization,2011,3
Visualization,2012,5
Visualization,2013,0
Visualization,2014,4
Visualization,2015,5
Information visualization,1991,0
Information visualization,1992,0
Information visualization,1993,0
Information visualization,1994,0
Information visualization,1995,0
Information visualization,1996,0
Information visualization,1997,1
Information visualization,1998,1
Information visualization,1999,1
Information visualization,2000,1
Information visualization,2001,0
Information visualization,2002,0
Information visualization,2003,0
Information visualization,2004,1
Information visualization,2005,1
Information visualization,2006,4
Information visualization,2007,5
Information visualization,2008,5
Information visualization,2009,4
Information visualization,2010,5
Information visualization,2011,3
Information visualization,2012,4
Information visualization,2013,4
Information visualization,2014,4
Information visualization,2015,3
flow visualization,1991,0
flow visualization,1992,0
flow visualization,1993,0
flow visualization,1994,0
flow visualization,1995,0
flow visualization,1996,1
flow visualization,1997,1
flow visualization,1998,4
flow visualization,1999,2
flow visualization,2000,2
flow visualization,2001,4
flow visualization,2002,0
flow visualization,2003,1
flow visualization,2004,8
flow visualization,2005,4
flow visualization,2006,2
flow visualization,2007,5
flow visualization,2008,3
flow visualization,2009,2
flow visualization,2010,0
flow visualization,2011,0
flow visualization,2012,2
flow visualization,2013,0
flow visualization,2014,2
flow visualization,2015,3
volume visualization,1991,0
volume visualization,1992,1
volume visualization,1993,0
volume visualization,1994,0
volume visualization,1995,0
volume visualization,1996,0
volume visualization,1997,2
volume visualization,1998,3
volume visualization,1999,2
volume visualization,2000,6
volume visualization,2001,2
volume visualization,2002,4
volume visualization,2003,2
volume visualization,2004,4
volume visualization,2005,4
volume visualization,2006,4
volume visualization,2007,1
volume visualization,2008,0
volume visualization,2009,2
volume visualization,2010,0
volume visualization,2011,1
volume visualization,2012,0
volume visualization,2013,0
volume visualization,2014,0
volume visualization,2015,0
scientific visualization,1991,0
scientific visualization,1992,0
scientific visualization,1993,0
scientific visualization,1994,0
scientific visualization,1995,1
scientific visualization,1996,1
scientific visualization,1997,5
scientific visualization,1998,2
scientific visualization,1999,2
scientific visualization,2000,4
scientific visualization,2001,2
scientific visualization,2002,4
scientific visualization,2003,2
scientific visualization,2004,4
scientific visualization,2005,2
scientific visualization,2006,3
scientific visualization,2007,0
scientific visualization,2008,1
scientific visualization,2009,0
scientific visualization,2010,0
scientific visualization,2011,0
scientific visualization,2012,0
scientific visualization,2013,2
scientific visualization,2014,0
scientific visualization,2015,2
interaction,1991,0
interaction,1992,0
interaction,1993,0
interaction,1994,0
interaction,1995,1
interaction,1996,0
interaction,1997,0
interaction,1998,1
interaction,1999,0
interaction,2000,0
interaction,2001,1
interaction,2002,0
interaction,2003,0
interaction,2004,1
interaction,2005,1
interaction,2006,1
interaction,2007,3
interaction,2008,2
interaction,2009,4
interaction,2010,3
interaction,2011,2
interaction,2012,3
interaction,2013,6
interaction,2014,1
interaction,2015,6
Volume Rendering,1991,0
Volume Rendering,1992,0
Volume Rendering,1993,0
Volume Rendering,1994,0
Volume Rendering,1995,0
Volume Rendering,1996,2
Volume Rendering,1997,2
Volume Rendering,1998,0
Volume Rendering,1999,1
Volume Rendering,2000,2
Volume Rendering,2001,7
Volume Rendering,2002,2
Volume Rendering,2003,4
Volume Rendering,2004,1
Volume Rendering,2005,4
Volume Rendering,2006,3
Volume Rendering,2007,0
Volume Rendering,2008,2
Volume Rendering,2009,4
Volume Rendering,2010,0
Volume Rendering,2011,1
Volume Rendering,2012,0
Volume Rendering,2013,0
Volume Rendering,2014,0
Volume Rendering,2015,1
Visual Analytics,1991,0
Visual Analytics,1992,0
Visual Analytics,1993,0
Visual Analytics,1994,0
Visual Analytics,1995,0
Visual Analytics,1996,0
Visual Analytics,1997,0
Visual Analytics,1998,0
Visual Analytics,1999,0
Visual Analytics,2000,0
Visual Analytics,2001,0
Visual Analytics,2002,0
Visual Analytics,2003,0
Visual Analytics,2004,0
Visual Analytics,2005,0
Visual Analytics,2006,4
Visual Analytics,2007,4
Visual Analytics,2008,2
Visual Analytics,2009,2
Visual Analytics,2010,4
Visual Analytics,2011,2
Visual Analytics,2012,0
Visual Analytics,2013,1
Visual Analytics,2014,7
Visual Analytics,2015,5
Information Visualization,1991,0
Information Visualization,1992,0
Information Visualization,1993,0
Information Visualization,1994,0
Information Visualization,1995,0
Information Visualization,1996,1
Information Visualization,1997,1
Information Visualization,1998,0
Information Visualization,1999,2
Information Visualization,2000,1
Information Visualization,2001,2
Information Visualization,2002,0
Information Visualization,2003,2
Information Visualization,2004,2
Information Visualization,2005,6
Information Visualization,2006,1
Information Visualization,2007,0
Information Visualization,2008,2
Information Visualization,2009,3
Information Visualization,2010,2
Information Visualization,2011,1
Information Visualization,2012,0
Information Visualization,2013,2
Information Visualization,2014,2
Information Visualization,2015,0
evaluation,1991,0
evaluation,1992,0
evaluation,1993,0
evaluation,1994,0
evaluation,1995,0
evaluation,1996,0
evaluation,1997,0
evaluation,1998,0
evaluation,1999,0
evaluation,2000,0
evaluation,2001,0
evaluation,2002,2
evaluation,2003,0
evaluation,2004,2
evaluation,2005,2
evaluation,2006,1
evaluation,2007,1
evaluation,2008,2
evaluation,2009,3
evaluation,2010,5
evaluation,2011,0
evaluation,2012,6
evaluation,2013,2
evaluation,2014,3
evaluation,2015,1
Visual analytics,1991,0
Visual analytics,1992,0
Visual analytics,1993,0
Visual analytics,1994,0
Visual analytics,1995,0
Visual analytics,1996,0
Visual analytics,1997,0
Visual analytics,1998,0
Visual analytics,1999,0
Visual analytics,2000,0
Visual analytics,2001,0
Visual analytics,2002,0
Visual analytics,2003,0
Visual analytics,2004,0
Visual analytics,2005,0
Visual analytics,2006,1
Visual analytics,2007,1
Visual analytics,2008,0
Visual analytics,2009,2
Visual analytics,2010,1
Visual analytics,2011,3
Visual analytics,2012,6
Visual analytics,2013,4
Visual analytics,2014,4
Visual analytics,2015,3
clustering,1991,0
clustering,1992,0
clustering,1993,0
clustering,1994,0
clustering,1995,0
clustering,1996,0
clustering,1997,0
clustering,1998,0
clustering,1999,0
clustering,2000,4
clustering,2001,0
clustering,2002,0
clustering,2003,2
clustering,2004,1
clustering,2005,1
clustering,2006,0
clustering,2007,1
clustering,2008,1
clustering,2009,2
clustering,2010,1
clustering,2011,2
clustering,2012,1
clustering,2013,0
clustering,2014,1
clustering,2015,3
Flow visualization,1991,0
Flow visualization,1992,0
Flow visualization,1993,0
Flow visualization,1994,0
Flow visualization,1995,0
Flow visualization,1996,0
Flow visualization,1997,0
Flow visualization,1998,0
Flow visualization,1999,0
Flow visualization,2000,0
Flow visualization,2001,0
Flow visualization,2002,1
Flow visualization,2003,1
Flow visualization,2004,1
Flow visualization,2005,1
Flow visualization,2006,3
Flow visualization,2007,1
Flow visualization,2008,0
Flow visualization,2009,1
Flow visualization,2010,4
Flow visualization,2011,3
Flow visualization,2012,0
Flow visualization,2013,0
Flow visualization,2014,2
Flow visualization,2015,0
perception,1991,0
perception,1992,0
perception,1993,0
perception,1994,0
perception,1995,0
perception,1996,0
perception,1997,0
perception,1998,1
perception,1999,0
perception,2000,1
perception,2001,1
perception,2002,0
perception,2003,0
perception,2004,1
perception,2005,4
perception,2006,1
perception,2007,2
perception,2008,0
perception,2009,0
perception,2010,0
perception,2011,0
perception,2012,4
perception,2013,0
perception,2014,3
perception,2015,0
animation,1991,0
animation,1992,0
animation,1993,0
animation,1994,0
animation,1995,0
animation,1996,2
animation,1997,0
animation,1998,2
animation,1999,1
animation,2000,1
animation,2001,1
animation,2002,1
animation,2003,1
animation,2004,0
animation,2005,1
animation,2006,0
animation,2007,2
animation,2008,1
animation,2009,1
animation,2010,0
animation,2011,0
animation,2012,1
animation,2013,2
animation,2014,0
animation,2015,0
level-of-detail,1991,0
level-of-detail,1992,0
level-of-detail,1993,0
level-of-detail,1994,0
level-of-detail,1995,0
level-of-detail,1996,0
level-of-detail,1997,1
level-of-detail,1998,2
level-of-detail,1999,0
level-of-detail,2000,2
level-of-detail,2001,1
level-of-detail,2002,5
level-of-detail,2003,0
level-of-detail,2004,2
level-of-detail,2005,1
level-of-detail,2006,0
level-of-detail,2007,0
level-of-detail,2008,0
level-of-detail,2009,0
level-of-detail,2010,0
level-of-detail,2011,0
level-of-detail,2012,0
level-of-detail,2013,1
level-of-detail,2014,2
level-of-detail,2015,0
